epoch,num_nodes,num_active,overlay_energy,pow_energy,blocks_produced,cum_overlay_energy,cum_pow_energy,overlay_vs_pow_ratio,cum_overlay_vs_pow_ratio,overlay_vs_pow_ratio_smooth_5,overlay_vs_pow_ratio_smooth_10,overlay_vs_pow_ratio_smooth_20
143,100,34,0.0,0.0,0,673200.0,75000.0,,8.976,7.2,6.533333333333332,6.866666666666666
144,100,77,0.0,0.0,0,673200.0,75000.0,,8.976,,8.7,8.12
145,100,9,0.0,0.0,0,673200.0,75000.0,,8.976,,7.0,9.0
146,100,56,0.0,0.0,0,673200.0,75000.0,,8.976,,4.466666666666667,9.11111111111111
147,100,6,0.0,0.0,0,673200.0,75000.0,,8.976,3.6,3.1,9.475
148,100,18,0.0,0.0,0,673200.0,75000.0,,8.976,3.100000000000002,8.466666666666667,9.475
149,100,18,3600.0,1000.0,1,676800.0,76000.0,3.6,8.905263157894737,3.100000000000002,11.2,10.514285714285714
150,100,13,2600.0,1000.0,1,679400.0,77000.0,2.6,8.823376623376623,8.466666666666667,11.239999999999998,10.514285714285714
151,100,50,0.0,0.0,0,679400.0,77000.0,,8.823376623376623,11.2,11.239999999999998,10.566666666666665
152,100,96,19200.0,1000.0,1,698600.0,78000.0,19.2,8.956410256410257,13.15,11.239999999999998,11.239999999999998
153,100,97,19400.0,1000.0,1,718000.0,79000.0,19.4,9.08860759493671,16.666666666666668,11.239999999999998,11.239999999999998
154,100,57,11400.0,1000.0,1,729400.0,80000.0,11.4,9.1175,16.666666666666668,11.239999999999998,12.233333333333334
155,100,49,0.0,0.0,0,729400.0,80000.0,,9.1175,15.400000000000002,13.149999999999999,12.233333333333334
156,100,96,0.0,0.0,0,729400.0,80000.0,,9.1175,11.4,16.666666666666664,12.571428571428571
157,100,66,0.0,0.0,0,729400.0,80000.0,,9.1175,,16.666666666666664,11.9
158,100,88,0.0,0.0,0,729400.0,80000.0,,9.1175,,15.399999999999999,11.9
159,100,53,0.0,0.0,0,729400.0,80000.0,,9.1175,,14.3,12.666666666666666
160,100,59,0.0,0.0,0,729400.0,80000.0,,9.1175,,17.2,13.8
161,100,96,0.0,0.0,0,729400.0,80000.0,,9.1175,17.2,15.900000000000002,15.4
162,100,52,0.0,0.0,0,729400.0,80000.0,,9.1175,17.2,13.0,15.4
163,100,86,17200.0,1000.0,1,746600.0,81000.0,17.2,9.217283950617285,15.900000000000002,13.0,14.766666666666666
164,100,29,0.0,0.0,0,746600.0,81000.0,,9.217283950617285,13.0,14.450000000000001,12.866666666666667
165,100,73,14600.0,1000.0,1,761200.0,82000.0,14.6,9.282926829268293,13.0,14.450000000000001,13.5
166,100,36,7200.0,1000.0,1,768400.0,83000.0,7.2,9.257831325301204,13.533333333333337,14.450000000000001,12.171428571428573
167,100,76,0.0,0.0,0,768400.0,83000.0,,9.257831325301204,13.533333333333337,14.450000000000001,11.799999999999999
168,100,94,18800.0,1000.0,1,787200.0,84000.0,18.8,9.371428571428572,13.000000000000004,14.450000000000001,11.333333333333334
169,100,12,0.0,0.0,0,787200.0,84000.0,,9.371428571428572,18.8,12.15,11.333333333333334
170,100,12,0.0,0.0,0,787200.0,84000.0,,9.371428571428572,18.8,12.76,10.919999999999998
171,100,49,0.0,0.0,0,787200.0,84000.0,,9.371428571428572,8.0,10.68,10.919999999999998
172,100,60,0.0,0.0,0,787200.0,84000.0,,9.371428571428572,11.600000000000001,11.080000000000002,10.919999999999998
173,100,40,8000.0,1000.0,1,795200.0,85000.0,8.0,9.355294117647059,9.133333333333335,10.5,10.919999999999998
174,100,76,15200.0,1000.0,1,810400.0,86000.0,15.2,9.423255813953489,9.15,8.84,10.06
175,100,21,4200.0,1000.0,1,814600.0,87000.0,4.2,9.363218390804597,8.84,8.566666666666666,10.890909090909092
176,100,46,9200.0,1000.0,1,823800.0,88000.0,9.2,9.361363636363636,9.05,8.566666666666666,10.52
177,100,38,7600.0,1000.0,1,831400.0,89000.0,7.6,9.341573033707865,7.050000000000001,8.566666666666666,10.88888888888889
178,100,86,0.0,0.0,0,831400.0,89000.0,,9.341573033707865,8.000000000000002,8.566666666666666,10.88888888888889
179,100,36,7200.0,1000.0,1,838600.0,90000.0,7.2,9.317777777777778,7.400000000000002,8.666666666666666,9.9
180,100,93,0.0,0.0,0,838600.0,90000.0,,9.317777777777778,7.2,9.333333333333332,9.9
181,100,66,0.0,0.0,0,838600.0,90000.0,,9.317777777777778,7.900000000000001,10.36,9.488888888888887
182,100,87,0.0,0.0,0,838600.0,90000.0,,9.317777777777778,13.9,10.649999999999999,10.08
183,100,43,8600.0,1000.0,1,847200.0,91000.0,8.6,9.30989010989011,13.9,11.666666666666666,10.08
184,100,96,19200.0,1000.0,1,866400.0,92000.0,19.2,9.417391304347825,13.9,11.666666666666666,10.31111111111111
185,100,84,0.0,0.0,0,866400.0,92000.0,,9.417391304347825,13.9,13.899999999999999,9.7
186,100,33,0.0,0.0,0,866400.0,92000.0,,9.417391304347825,19.2,11.333333333333334,10.485714285714284
187,100,51,0.0,0.0,0,866400.0,92000.0,,9.417391304347825,,12.35,9.4
188,100,64,0.0,0.0,0,866400.0,92000.0,,9.417391304347825,6.2,12.35,10.857142857142858
189,100,89,0.0,0.0,0,866400.0,92000.0,,9.417391304347825,10.800000000000002,13.6,10.857142857142858
190,100,31,6200.0,1000.0,1,872600.0,93000.0,6.2,9.382795698924731,10.800000000000002,10.8,11.466666666666667
191,100,77,15400.0,1000.0,1,888000.0,94000.0,15.4,9.446808510638299,10.800000000000002,10.8,11.466666666666667
192,100,16,0.0,0.0,0,888000.0,94000.0,,9.446808510638299,10.800000000000002,7.733333333333334,11.466666666666667
193,100,16,0.0,0.0,0,888000.0,94000.0,,9.446808510638299,15.4,10.25,11.466666666666667
194,100,74,0.0,0.0,0,888000.0,94000.0,,9.446808510638299,1.6,10.25,12.040000000000001
195,100,62,0.0,0.0,0,888000.0,94000.0,,9.446808510638299,9.700000000000001,10.25,10.25
196,100,8,1600.0,1000.0,1,889600.0,95000.0,1.6,9.364210526315789,9.700000000000001,11.6,10.25
197,100,89,17800.0,1000.0,1,907400.0,96000.0,17.8,9.452083333333333,9.700000000000001,9.7,10.25
198,100,92,0.0,0.0,0,907400.0,96000.0,,9.452083333333333,9.700000000000001,9.7,10.25
199,100,1,0.0,0.0,0,907400.0,96000.0,,9.452083333333333,17.8,9.7,10.25
200,100,15,0.0,0.0,0,907400.0,96000.0,,9.452083333333333,,9.7,10.25
